Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Avg. Altitude,Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,770,778.5,787,1.19E-03,98.63,100.42,1,,,2/25/13,<1 yr.,Aalborg University,Denmark,,SC - ASCR,https://directory.eoportal.org/web/eoportal/satellite-missions/a/aausat3,http://www.pe0sat.vgnet.nl/satellite/cube-nano-picosats/aausat3/,http://space50.kosmo.cz/s40/2013/INDEX1.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,480,635,790,2.21E-02,0.02,97.4,3,,,9/13/12,,University of Southern California,USA,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,http://www.spaceflight101.com/nrol-36-launch.updates.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,495,643,791,2.11E-02,64.6,97.5,5,,,9/13/12,,Aerospace Corporation,USA,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,https://directory.eoportal.org/web/eoportal/satellite-missions/a/aerocube-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,499,645.5,792,2.09E-02,64.6,97.6,5,,,9/13/12,,Aerospace Corporation,USA,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,https://directory.eoportal.org/web/eoportal/satellite-missions/a/aerocube-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,443,664.5,886,3.15E-02,120.3,98,5,,,12/6/13,2 yrs.,Aerospace Corporation,USA,,ZARYA,http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html,https://www.aerospace.org/2013/08/14/sometimes-smaller-is-better/,http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,443,664.5,886,3.15E-02,120.3,98,5,,,12/6/13,2 yrs.,Aerospace Corporation,USA,,ZARYA,http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html,https://www.aerospace.org/2013/08/14/sometimes-smaller-is-better/,http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,614,657,700,6.12E-03,97.98,97.88,5,,,6/19/14,3 yrs.,Aerospace Corporation,USA,,ZARYA,http://www.aerospace.org/2014/06/26/aerocube-6-launches-aboard-russian-rocket/,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,614,657,700,6.12E-03,97.98,97.88,5,,,6/19/14,3 yrs.,Aerospace Corporation,USA,,ZARYA,http://www.aerospace.org/2014/06/26/aerocube-6-launches-aboard-russian-rocket/,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,356,528,700,2.49E-02,55,95.19,5,,,5/20/15,,Aerospace Corporation,USA,,JM/8_15,http://www.spaceflight101.com/afspc-05-secondary-payloads.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,356,528,700,2.49E-02,55,95.19,5,,,5/20/15,,Aerospace Corporation,USA,,JM/8_15,http://www.spaceflight101.com/afspc-05-secondary-payloads.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
